Allegheny Center,2020,5627
Allegheny West,2020,5627
Allentown,2020,1803
Arlington,2020,1610
Arlington Heights,2020,1610
Banksville,2020,2023
Bedford Dwellings,2020,509
Beechview,2020,1916
Beltzhoover,2020,5624
Bloomfield,2020,"802, 804, 806, 809, 903"
Bluff,2020,"103.01, 103.02"
Bon Air,2020,5624
Brighton Heights,2020,"2701, 2703, 2708"
Brookline,2020,"1917, 1918, 1919, 3206"
California Kirkbride,2020,5652
Carrick,2020,"2901, 2902, 2904"
Central Lawrenceville,2020,"901, 902, 9810"
Central Northside,2020,5651
Central Oakland,2020,"405, 406"
Chartiers City,2020,5630
Chateau,2020,9806
Crafton Heights,2020,"2814, 2815"
Crawford-Roberts,2020,305
Duquesne Heights,2020,1911
East Allegheny,2020,"5632.01, 5632.02"
East Carnegie,2020,5628
East Hills,2020,1306
East Liberty,2020,"1113, 1115"
Elliott,2020,5626
Esplen,2020,5625
Fairywood,2020,5630
Fineview,2020,2509
Friendship,2020,807
Garfield,2020,"1019, 1114"
Glen Hazel,2020,5623
Golden Triangle/Civic Arena,2020,201
Greenfield,2020,"1516, 1517"
Hays,2020,5653
Hazelwood,2020,"5623, 5629.01"
Highland Park,2020,"1102, 1106"
Homewood North,2020,"1302, 1307"
Homewood South,2020,1308
Homewood West,2020,1307
Knoxville,2020,3001
Larimer,2020,1209
Lincoln-Lemington-Belmar,2020,"1203, 5619, 9800, 9818"
Lincoln Place,2020,3102
Lower Lawrenceville,2020,603
Manchester,2020,5652
Marshall-Shadeland,2020,"2716, 9809"
Middle Hill,2020,501
Morningside,2020,1014
Mount Oliver Neighborhood,2020,1610
Mount Washington,2020,"1807, 1903, 1914, 1915"
New Homestead,2020,5653
North Oakland,2020,"404, 5620"
North Shore,2020,"5632.01, 5632.02, 9812"
Northview Heights,2020,2613
Oakwood,2020,5628
Overbrook,2020,"3204, 3207"
Perry North,2020,"2602, 2607, 9804"
Perry South,2020,"2614, 2615"
Point Breeze,2020,"1404, 1412, 9811"
Point Breeze North,2020,1405
Polish Hill,2020,605
Regent Square,2020,1412
Ridgemont,2020,5631
Saint Clair,2020,1610
Shadyside,2020,"703, 705, 706, 708, 709"
Sheraden,2020,"2022, 5625"
South Oakland,2020,"409, 9808"
South Shore,2020,9807
South Side Flats,2020,"1609, 1702"
South Side Slopes,2020,"1608, 1706"
Spring Garden,2020,2413
Spring Hill â€“ City View,2020,2620
Squirrel Hill North,2020,"1401, 1402, 1403"
Squirrel Hill South,2020,"1408, 1413, 1414, 9803, 9805"
Stanton Heights,2020,"1005, 1018"
Strip District,2020,203
Summer Hill,2020,2613
Swisshelm Park,2020,1411
Terrace Village,2020,"402, 510, 511"
Troy Hill,2020,2413
Upper Hill,2020,506
Upper Lawrenceville,2020,1011
West End,2020,5626
West Oakland,2020,402
Westwood,2020,5631
Windgap,2020,5630