Municipality,2000 Census Tracts,2010 Census Tracts,2020 Census Tracts
Aleppo,4410,5638,5638
Aspinwall,4230,4230,4230
Avalon,"4323, 4324","4323, 4324","4323, 4324"
Baldwin Borough,"4801.01, 4801.02, 4802, 4803, 4804","4801.01, 4801.02, 4802, 4803, 4804","4801.01, 4801.02, 4802, 4803, 4804"
Baldwin Township,4790,4790,4790
Bell Acres,4390,4390,4390
Bellevue,"4311, 4314, 4315","4311, 4314, 4315","4311, 4314, 4315"
Ben Avon,4340,4340,4340
Ben Avon Heights,4330,5638,5638
Bethel Park,"4751.01, 4751.02, 4752, 4753.01, 4753.03, 4753.04, 4754.01, 4754.02","4751.01, 4751.02, 4752, 4753.01, 4753.03, 4753.04, 4754.01, 4754.02","4751.01, 4751.02, 4752, 4753.01, 4753.03, 4753.04, 4754.01, 4754.02"
Blawnox,4200,4200,4200
Brackenridge,4020,4020,4020
Braddock,5138,5138,5138
Braddock Hills,5170,5170,5170
Bradford Woods,4100,4100,4100
Brentwood,"4781, 4782","4781, 4782","4781, 4782"
Bridgeville,"4571, 4572","4571, 4572","4571, 4572"
Carnegie,"4687, 4688, 4689","4687, 4688, 4689","4687, 4688, 4689"
Castle Shannon,"4761, 4762","4761, 4762","4761, 4762"
Chalfant,5110,5639,5639
Cheswick,4180,4180,4180
Churchill,5190,5190,5190
Clairton,"4927, 4928, 4929","4927, 4928, 4929","4927, 4928, 4929"
Collier Twp,4580,4580,"4580.01, 4580.02"
Coraopolis,"4507, 4508","4507, 4508","4507, 4508"
Crafton,"4656, 4658","4656, 4658","4656, 4658"
Crescent,4490,4490,4490
Dormont,"4721, 4722, 4723, 4724","4721, 4722, 4723, 4724","4721, 4722, 4723, 4724"
Dravosburg,4870,4870,4870
Duquesne,"4867, 4868, 4869","4867, 4868, 4869","4867, 4868, 4869"
East Deer,4040,4040,4040
East McKeesport,5070,5070,5070
East Pittsburgh,5100,5100,5100
Edgewood,"5161, 5162","5161, 5162","5161, 5162"
Edgeworth,4460,4460,4460
Elizabeth Borough,4940,4940,4940
Elizabeth Twp,"4961.01, 4961.02, 4962","4961.01, 4961.02, 4962","4961.01, 4961.02, 4962"
Emsworth,4350,4350,4350
Etna,4250,4250,4250
Fawn Twp,4060,4060,4060
Findlay Twp,4520,4520,4520
Forest Hills,"5180.01, 5180.02","5180.01, 5639","5180.01, 5639"
Forward Twp,4950,4950,4950
Fox Chapel,4220,4220,4220
Franklin Park,"4120.01, 4120.02","4120.01, 4120.02","4120.02, 4120.03, 4120.04"
Frazer Twp,4050,4050,4050
Glassport,"4993, 4994","4993, 4994","4993, 4994"
Glenfield,4420,5638,5638
Glen Osborne (Osborne),4440,5638,5638
Green Tree,4690,4690,4690
Hampton Twp,"4141.01, 4141.02, 4142","4141.01, 4141.02, 4142","4141.01, 4141.02, 4142"
Harmar Twp,4190,4190,4190
Harrison Twp,"4011, 4012, 4013","4011, 4012, 4013","4011, 4012, 4013"
Haysville,4430,5638,5638
Heidelberg,4710,4710,4710
Homestead,4838,4838,4838
Indiana Twp,"4150.01, 4150.02","4150.01, 4150.02","4150.01, 4150.02"
Ingram,4643,4643,4643
Jefferson Hills,"4911.01, 4911.02, 4912","4911.01, 4912, 5645","4911.01, 4912, 5645"
Kennedy Twp,"4600.01, 4600.02","4600.01, 4600.02","4600.01, 4600.02"
Kilbuck,4360,5638,5638
Leet Twp,4470,4470,4470
Leetsdale,4480,4480,4480
Liberty,4980,4980,4980
Lincoln,4970,4970,4970
Marshall,4110,4110,"4110.01, 4110.02"
McCandless Twp,"4131, 4132.01, 4132.02, 4133, 4134, 4135","4131, 4132.01, 4132.02, 4133, 4134, 4135","4131, 4132.01, 4132.02, 4133, 4134, 4135"
McDonald,4540,5640,5640
McKees Rocks,"4639, 4644","4639, 4644","4639, 4644"
McKeesport,"5509, 5512, 5519, 5521, 5522, 5523, 5524","5509, 5512, 5513, 5519, 5520, 5521, 5522, 5523, 5524","5509, 5512, 5513, 5519, 5520, 5521, 5522, 5523, 5524"
Millvale,4270,4270,4270
Monroeville,"5211, 5212, 5213.01, 5213.02, 5214.01, 5214.02, 5215","5211, 5212, 5213.01, 5213.02, 5214.02, 5214.02, 5215","5211, 5212, 5213.01, 5213.02, 5214.01, 5214.02, 5215"
Moon Twp,"4511.01, 4511.02, 4511.03","4511.01, 4511.02, 4511.04, 4511.05, 4513","4511.01, 4511.02, 4511.04, 4511.05, 4513"
Mount Lebanon,"4731, 4732, 4733, 4734.01, 4734.02, 4735, 4736.01, 4736.02","4731, 4732, 4733, 4734.01, 4734.02, 4735, 4736.01, 4736.02","4731, 4732, 4733, 4734.01, 4734.02, 4735, 4736.01, 4736.02"
Mount Oliver,4810,4810,4810
Munhall,"4843, 4845, 4846","4843, 4845, 4846","4843, 4845, 4846"
Neville Twp,4610,4610,4610
North Braddock,"5120, 5128, 5129","5120, 5128, 5129","5120, 5130"
North Fayette,"4530.01, 4530.02","4530.03, 4530.04, 5640","4530.03, 4530.04, 5640"
North Versailles,"5041, 5044","5041, 5644","5041, 5644"
Oakdale,4550,4550,4550
Oakmont,"5251, 5252, 5253","5251, 5252, 5253","5251, 5252, 5253"
O'Hara Twp,"4211, 4212","4211, 4212","4211, 4212"
Ohio Twp,4370,4370,4370
Osborne (Glen Osborne),4440,5638,5638
Penn Hills,"5231, 5232, 5233, 5234, 5235.01, 5235.02, 5236, 5237.01, 5237.02, 5238","5231, 5232, 5233, 5234, 5235.01, 5235.02, 5236, 5237.01, 5237.02, 5238","5231, 5232, 5233, 5234, 5235.01, 5235.02, 5236, 5237.01, 5237.02, 5238"
Pennsbury Village,4592.02,4592.02,4592.02
Pine Township,4090,4090,"4090.01, 4090.02"
Pitcairn,5220,5220,5220
Pittsburgh City,see City of Pittsburgh under Local Census Tract Numbers,see City of Pittsburgh under Local Census Tract Numbers,see City of Pittsburgh under Local Census Tract Numbers
Pleasant Hills,"4890.01, 4890.02","4890.01, 4890.02","4890.01, 4890.02"
Plum,"5261.01, 5261.02, 5262.01, 5262.02, 5263.01, 5263.02","5261.01, 5261.02, 5262.01, 5262.02, 5263.01, 5263.02","5261.01, 5261.02, 5262.01, 5262.02, 5263.01, 5263.02"
Port Vue,5003,5003,5003
Rankin,5140,5140,5140
Reserve Twp,"4281, 4282","4281, 4282","4281, 4282"
Richland Twp,"4080.01, 4080.02","4080.01, 4080.02","4080.01, 4080.02"
Robinson Twp,"4591.01, 4591.02, 4592.01","4591.01, 4591.02, 4592.01","4591.01, 4591.02, 4592.01"
Ross Twp,"4291, 4292.01, 4292.02, 4293, 4294, 4295, 4296, 4297","4291, 4292.01, 4292.02, 4293, 4294, 4295, 4296, 4297","4291, 4292.01, 4292.02, 4293, 4294, 4295, 4296, 4297"
Rosslyn Farms,4670,5641,5641
Scott Twp,"4703, 4704, 4705, 4706","4703, 4704, 4705.01, 4705.02, 4706","4703, 4704, 4705.01, 4705.02, 4706"
Sewickley,4455,4455,4455
Sewickley Heights,4400,5633,5633
Sewickley Hills,4380,5633,5633
Shaler Twp,"4263, 4264, 4267, 4268, 4271, 4272","4263, 4264, 4267, 4268, 4271, 4272","4263, 4264, 4267, 4268, 4271, 4272"
Sharpsburg,4240,4240,4240
South Fayette Twp,"4560.01, 4560.03, 4560.04","4560.01, 4560.03, 4560.04","4560.01, 4560.03, 4560.04"
South Park Twp,"4900.02, 4900.03, 4900.04","4900.02, 4900.03, 4900.04","4900.02, 4900.03, 4900.04"
South Versailles Twp,5020,5642,5642
Springdale Borough,"4171, 4172","4171, 4172","4171, 4172"
Springdale Twp,4160,4160,4160
Stowe Twp,"4621, 4626","4621, 4626","4621, 4626"
Swissvale,"5151, 5152, 5153, 5154, 5155","5151, 5152, 5153, 5154.01","5151, 5152, 5153, 5154.01"
Tarentum,4035,4035,4035
Thornburg,4660,5641,5641
Trafford,5050,8022,8022
Turtle Creek,5094,5094,5094
Upper St. Clair Twp,"4741.01, 4741.02, 4742.01, 4742.02, 4743.03","4741.01, 4741.02, 4742.01, 4742.02, 4743.03","4741.01, 4741.02, 4742.01, 4742.02, 4743.03"
Verona,5240,5240,5240
Versailles,5010,5010,5010
Wall,5060,5644,5644
West Deer Twp,"4070.01, 4070.02","4070.01, 4070.02","4070.01, 4070.02"
West Elizabeth,4930,5645,5645
West Homestead,4825,4825,4825
West Mifflin,"4881, 4882, 4883, 4884, 4885, 4886","4881, 4882, 4883, 4884, 4885, 4886","4881, 4882, 4883, 4884, 4885, 4886"
West View,"4301, 4302","4301, 4302","4301, 4302"
Whitaker,4850,4850,4850
White Oak,"5030.01, 5030.02","5030.02, 5642","5030.02, 5642"
Whitehall,"4771, 4772, 4773","4771, 4772, 4773","4771, 4772, 4773"
Wilkins Twp,"5200.01, 5200.02","5200.01, 5200.02","5200.01, 5200.02"
Wilkinsburg,"5604, 5605, 5606, 5610, 5611, 5612, 5614, 5615","5604, 5605, 5606, 5610, 5611, 5612, 5614, 5615","5614, 5615, 5647, 5648"
Wilmerding,5080,5080,5080
